"OP Score","Differential","Deflections","Right","Key","Opponent"
34,34,14,28,25,"Sunny Hills"
44,31,16,30,29,"Arlington"
64,7,10,30,22,"Villa Park"
34,42,11,51,45,"Canyon"
55,-1,12,31,37,"La Mirada"
41,30,10,32,21,"Hillcrest"
48,20,13,32,42,"Beverly Hills"
19,67,20,18,17,"Romona"
50,29,9,37,39,"King"
40,29,16,40,26,"Arlington"
46,29,11,46,26,"Poly"
43,38,17,45,34,"San Gabriel AC"
75,5,7,53,52,"Sunnyslope"
42,9,7,31,44,"De Le Salle"
76,-5,7,38,45,"Roosevelt"
62,-3,6,48,55,"Salesian"
34,47,9,45,24,"Upland"
52,6,19,48,29,"Chino Hills"
50,14,15,36,26,"Los Osos"
44,36,11,38,39,"Marina"
62,6,11,46,28,"Rancho"
49,-10,8,53,30,"Etiwanda"
66,9,17,32,23,"Lynwood"
